student_id,last_name,first_name,gpa,graduation_date,last_updated_at
1,Smith,Noah,2.10,2026-06-02,2020-01-01T12:00:00Z
2,Johnson,Olivia,2.20,2026-06-03,2021-02-02T12:00:00Z
3,Williams,Liam,2.30,2026-06-04,2022-03-03T12:00:00Z
4,Brown,Emma,2.40,2026-06-05,2023-04-04T12:00:00Z
5,Jones,Oliver,2.50,2026-06-06,2024-05-05T12:00:00Z
6,Garcia,Ava,2.60,2026-06-07,2025-06-06T12:00:00Z
7,Miller,Elijah,2.70,2026-06-08,2020-07-07T12:00:00Z
8,Davis,Sophia,2.80,2026-06-09,2021-08-08T12:00:00Z
9,Rodriguez,James,2.90,2026-06-10,2022-09-09T12:00:00Z
10,Martinez,Isabella,3.00,2026-06-11,2023-10-10T12:00:00Z
11,Hernandez,William,3.10,2026-06-12,2024-11-11T12:00:00Z
12,Lopez,Mia,3.20,2026-06-13,2025-12-12T12:00:00Z
13,Gonzalez,Benjamin,3.30,2026-06-14,2020-01-13T12:00:00Z
14,Wilson,Charlotte,3.40,2026-06-15,2021-02-14T12:00:00Z
15,Anderson,Lucas,3.50,2026-06-16,2022-03-15T12:00:00Z
16,Thomas,Amelia,3.60,2026-06-17,2023-04-16T12:00:00Z
17,Taylor,Henry,3.70,2026-06-18,2024-05-17T12:00:00Z
18,Moore,Harper,3.80,2026-06-19,2025-06-18T12:00:00Z
19,Jackson,Theodore,3.90,2026-06-20,2020-07-19T12:00:00Z
20,Martin,Evelyn,4.00,2026-06-21,2021-08-20T12:00:00Z
21,Lee,Jack,2.10,2026-06-22,2022-09-21T12:00:00Z
22,Perez,Abigail,2.20,2026-06-23,2023-10-22T12:00:00Z
23,Thompson,Levi,2.30,2026-06-24,2024-11-23T12:00:00Z
24,White,Emily,2.40,2026-06-25,2025-12-24T12:00:00Z
25,Harris,Alexander,2.50,2026-06-26,2020-01-25T12:00:00Z
26,Sanchez,Ella,2.60,2026-06-27,2021-02-26T12:00:00Z
27,Clark,Jackson,2.70,2026-06-28,2022-03-27T12:00:00Z
28,Ramirez,Avery,2.80,2026-06-29,2023-04-28T12:00:00Z
29,Lewis,Mateo,2.90,2026-06-30,2024-05-29T12:00:00Z
30,Robinson,Sofia,3.00,2026-06-01,2025-06-30T12:00:00Z
31,Walker,Daniel,3.10,2026-06-02,2020-07-01T12:00:00Z
32,Young,Camila,3.20,2026-06-03,2021-08-02T12:00:00Z
33,Allen,Michael,3.30,2026-06-04,2022-09-03T12:00:00Z
34,King,Aria,3.40,2026-06-05,2023-10-04T12:00:00Z
35,Wright,Mason,3.50,2026-06-06,2024-11-05T12:00:00Z
36,Scott,Scarlett,3.60,2026-06-07,2025-12-06T12:00:00Z
37,Torres,Sebastian,3.70,2026-06-08,2020-01-07T12:00:00Z
38,Nguyen,Victoria,3.80,2026-06-09,2021-02-08T12:00:00Z
39,Hill,Ethan,3.90,2026-06-10,2022-03-09T12:00:00Z
40,Flores,Madison,4.00,2026-06-11,2023-04-10T12:00:00Z
41,Green,Logan,2.10,2026-06-12,2024-05-11T12:00:00Z
42,Adams,Luna,2.20,2026-06-13,2025-06-12T12:00:00Z
43,Nelson,Owen,2.30,2026-06-14,2020-07-13T12:00:00Z
44,Baker,Grace,2.40,2026-06-15,2021-08-14T12:00:00Z
45,Hall,Samuel,2.50,2026-06-16,2022-09-15T12:00:00Z
46,Rivera,Chloe,2.60,2026-06-17,2023-10-16T12:00:00Z
47,Campbell,Jacob,2.70,2026-06-18,2024-11-17T12:00:00Z
48,Mitchell,Penelope,2.80,2026-06-19,2025-12-18T12:00:00Z
49,Carter,Asher,2.90,2026-06-20,2020-01-19T12:00:00Z
50,Roberts,Layla,3.00,2026-06-21,2021-02-20T12:00:00Z
51,Gomez,Aiden,3.10,2026-06-22,2022-03-21T12:00:00Z
52,Phillips,Riley,3.20,2026-06-23,2023-04-22T12:00:00Z
53,Evans,John,3.30,2026-06-24,2024-05-23T12:00:00Z
54,Turner,Zoey,3.40,2026-06-25,2025-06-24T12:00:00Z
55,Diaz,Joseph,3.50,2026-06-26,2020-07-25T12:00:00Z
56,Parker,Nora,3.60,2026-06-27,2021-08-26T12:00:00Z
57,Cruz,David,3.70,2026-06-28,2022-09-27T12:00:00Z
58,Edwards,Lily,3.80,2026-06-29,2023-10-28T12:00:00Z
59,Collins,Wyatt,3.90,2026-06-30,2024-11-01T12:00:00Z
60,Reyes,Eleanor,4.00,2026-06-01,2025-12-02T12:00:00Z
61,Stewart,Matthew,2.10,2026-06-02,2020-01-03T12:00:00Z
62,Morris,Hannah,2.20,2026-06-03,2021-02-04T12:00:00Z
63,Morales,Luke,2.30,2026-06-04,2022-03-05T12:00:00Z
64,Murphy,Lillian,2.40,2026-06-05,2023-04-06T12:00:00Z
65,Cook,Julian,2.50,2026-06-06,2024-05-07T12:00:00Z
66,Rogers,Addison,2.60,2026-06-07,2025-06-08T12:00:00Z
67,Gutierrez,Isaiah,2.70,2026-06-08,2020-07-09T12:00:00Z
68,Ortiz,Aubrey,2.80,2026-06-09,2021-08-10T12:00:00Z
69,Morgan,Gabriel,2.90,2026-06-10,2022-09-11T12:00:00Z
70,Cooper,Ellie,3.00,2026-06-11,2023-10-12T12:00:00Z
71,Peterson,Anthony,3.10,2026-06-12,2024-11-13T12:00:00Z
72,Bailey,Stella,3.20,2026-06-13,2025-12-14T12:00:00Z
73,Reed,Isaac,3.30,2026-06-14,2020-01-15T12:00:00Z
74,Kelly,Natalie,3.40,2026-06-15,2021-02-16T12:00:00Z
75,Howard,Grayson,3.50,2026-06-16,2022-03-17T12:00:00Z
76,Ramos,Zoe,3.60,2026-06-17,2023-04-18T12:00:00Z
77,Kim,Andrew,3.70,2026-06-18,2024-05-19T12:00:00Z
78,Cox,Leah,3.80,2026-06-19,2025-06-20T12:00:00Z
79,Ward,Christopher,3.90,2026-06-20,2020-07-21T12:00:00Z
80,Richardson,Hazel,4.00,2026-06-21,2021-08-22T12:00:00Z
81,Watson,Joshua,2.10,2026-06-22,2022-09-23T12:00:00Z
82,Brooks,Violet,2.20,2026-06-23,2023-10-24T12:00:00Z
83,Chavez,Ezra,2.30,2026-06-24,2024-11-25T12:00:00Z
84,Wood,Aurora,2.40,2026-06-25,2025-12-26T12:00:00Z
85,James,Thomas,2.50,2026-06-26,2020-01-27T12:00:00Z
86,Bennett,Savannah,2.60,2026-06-27,2021-02-28T12:00:00Z
87,Gray,Charles,2.70,2026-06-28,2022-03-01T12:00:00Z
88,Mendoza,Audrey,2.80,2026-06-29,2023-04-02T12:00:00Z
89,Ruiz,Caleb,2.90,2026-06-30,2024-05-03T12:00:00Z
90,Hughes,Brooklyn,3.00,2026-06-01,2025-06-04T12:00:00Z
91,Price,Cooper,3.10,2026-06-02,2020-07-05T12:00:00Z
92,Alvarez,Bella,3.20,2026-06-03,2021-08-06T12:00:00Z
93,Castillo,Ryan,3.30,2026-06-04,2022-09-07T12:00:00Z
94,Sanders,Claire,3.40,2026-06-05,2023-10-08T12:00:00Z
95,Patel,Nathan,3.50,2026-06-06,2024-11-09T12:00:00Z
96,Myers,Skylar,3.60,2026-06-07,2025-12-10T12:00:00Z
97,Long,Adrian,3.70,2026-06-08,2020-01-11T12:00:00Z
98,Ross,Lucy,3.80,2026-06-09,2021-02-12T12:00:00Z
99,Foster,Christian,3.90,2026-06-10,2022-03-13T12:00:00Z
100,Jimenez,Paisley,4.00,2026-06-11,2023-04-14T12:00:00Z

101,Smith,Noah,2.10,2026-06-11,2024-05-17T12:00:00Z
102,Johnson,Olivia,2.20,2026-06-12,2025-06-18T12:00:00Z
103,Williams,Liam,2.30,2026-06-13,2020-07-19T12:00:00Z
104,Brown,Emma,2.40,2026-06-14,2021-08-20T12:00:00Z
105,Jones,Oliver,2.50,2026-06-15,2022-09-21T12:00:00Z
106,Garcia,Ava,2.60,2026-06-16,2023-10-22T12:00:00Z
107,Miller,Elijah,2.70,2026-06-17,2024-11-23T12:00:00Z
108,Davis,Sophia,2.80,2026-06-18,2025-12-24T12:00:00Z
109,Rodriguez,James,2.90,2026-06-19,2020-01-25T12:00:00Z
110,Martinez,Isabella,3.00,2026-06-20,2021-02-26T12:00:00Z
111,Hernandez,William,3.10,2026-06-21,2022-03-27T12:00:00Z
112,Lopez,Mia,3.20,2026-06-22,2023-04-28T12:00:00Z
113,Gonzalez,Benjamin,3.30,2026-06-23,2024-05-01T12:00:00Z
114,Wilson,Charlotte,3.40,2026-06-24,2025-06-02T12:00:00Z
115,Anderson,Lucas,3.50,2026-06-25,2020-07-03T12:00:00Z
116,Thomas,Amelia,3.60,2026-06-26,2021-08-04T12:00:00Z
117,Taylor,Henry,3.70,2026-06-27,2022-09-05T12:00:00Z
118,Moore,Harper,3.80,2026-06-28,2023-10-06T12:00:00Z
119,Jackson,Theodore,3.90,2026-06-29,2024-11-07T12:00:00Z
120,Martin,Evelyn,4.00,2026-06-30,2025-12-08T12:00:00Z
121,Lee,Jack,2.10,2026-06-01,2020-01-09T12:00:00Z
122,Perez,Abigail,2.20,2026-06-02,2021-02-10T12:00:00Z
123,Thompson,Levi,2.30,2026-06-03,2022-03-11T12:00:00Z
124,White,Emily,2.40,2026-06-04,2023-04-12T12:00:00Z
125,Harris,Alexander,2.50,2026-06-05,2024-05-13T12:00:00Z
126,Sanchez,Ella,2.60,2026-06-06,2025-06-14T12:00:00Z
127,Clark,Jackson,2.70,2026-06-07,2020-07-15T12:00:00Z
128,Ramirez,Avery,2.80,2026-06-08,2021-08-16T12:00:00Z
129,Lewis,Mateo,2.90,2026-06-09,2022-09-17T12:00:00Z
130,Robinson,Sofia,3.00,2026-06-10,2023-10-18T12:00:00Z
131,Walker,Daniel,3.10,2026-06-11,2024-11-19T12:00:00Z
132,Young,Camila,3.20,2026-06-12,2025-12-20T12:00:00Z
133,Allen,Michael,3.30,2026-06-13,2020-01-21T12:00:00Z
134,King,Aria,3.40,2026-06-14,2021-02-22T12:00:00Z
135,Wright,Mason,3.50,2026-06-15,2022-03-23T12:00:00Z
136,Scott,Scarlett,3.60,2026-06-16,2023-04-24T12:00:00Z
137,Torres,Sebastian,3.70,2026-06-17,2024-05-25T12:00:00Z
138,Nguyen,Victoria,3.80,2026-06-18,2025-06-26T12:00:00Z
139,Hill,Ethan,3.90,2026-06-19,2020-07-27T12:00:00Z
140,Flores,Madison,4.00,2026-06-20,2021-08-28T12:00:00Z
141,Green,Logan,2.10,2026-06-21,2022-09-01T12:00:00Z
142,Adams,Luna,2.20,2026-06-22,2023-10-02T12:00:00Z
143,Nelson,Owen,2.30,2026-06-23,2024-11-03T12:00:00Z
144,Baker,Grace,2.40,2026-06-24,2025-12-04T12:00:00Z
145,Hall,Samuel,2.50,2026-06-25,2020-01-05T12:00:00Z
146,Rivera,Chloe,2.60,2026-06-26,2021-02-06T12:00:00Z
147,Campbell,Jacob,2.70,2026-06-27,2022-03-07T12:00:00Z
148,Mitchell,Penelope,2.80,2026-06-28,2023-04-08T12:00:00Z
149,Carter,Asher,2.90,2026-06-29,2024-05-09T12:00:00Z
150,Roberts,Layla,3.00,2026-06-30,2025-06-10T12:00:00Z
151,Smith,Noah,3.10,2026-06-01,2020-07-11T12:00:00Z
152,Johnson,Olivia,3.20,2026-06-02,2021-08-12T12:00:00Z
153,Williams,Liam,3.30,2026-06-03,2022-09-13T12:00:00Z
154,Brown,Emma,3.40,2026-06-04,2023-10-14T12:00:00Z
155,Jones,Oliver,3.50,2026-06-05,2024-11-15T12:00:00Z
156,Garcia,Ava,3.60,2026-06-06,2025-12-16T12:00:00Z
157,Miller,Elijah,3.70,2026-06-07,2020-01-17T12:00:00Z
158,Davis,Sophia,3.80,2026-06-08,2021-02-18T12:00:00Z
159,Rodriguez,James,3.90,2026-06-09,2022-03-19T12:00:00Z
160,Martinez,Isabella,4.00,2026-06-10,2023-04-20T12:00:00Z
161,Hernandez,William,2.10,2026-06-11,2024-05-21T12:00:00Z
162,Lopez,Mia,2.20,2026-06-12,2025-06-22T12:00:00Z
163,Gonzalez,Benjamin,2.30,2026-06-13,2020-07-23T12:00:00Z
164,Wilson,Charlotte,2.40,2026-06-14,2021-08-24T12:00:00Z
165,Anderson,Lucas,2.50,2026-06-15,2022-09-25T12:00:00Z
166,Thomas,Amelia,2.60,2026-06-16,2023-10-26T12:00:00Z
167,Taylor,Henry,2.70,2026-06-17,2024-11-27T12:00:00Z
168,Moore,Harper,2.80,2026-06-18,2025-12-28T12:00:00Z
169,Jackson,Theodore,2.90,2026-06-19,2020-01-01T12:00:00Z
170,Martin,Evelyn,3.00,2026-06-20,2021-02-02T12:00:00Z
171,Lee,Jack,3.10,2026-06-21,2022-03-03T12:00:00Z
172,Perez,Abigail,3.20,2026-06-22,2023-04-04T12:00:00Z
173,Thompson,Levi,3.30,2026-06-23,2024-05-05T12:00:00Z
174,White,Emily,3.40,2026-06-24,2025-06-06T12:00:00Z
175,Harris,Alexander,3.50,2026-06-25,2020-07-07T12:00:00Z
176,Sanchez,Ella,3.60,2026-06-26,2021-08-08T12:00:00Z
177,Clark,Jackson,3.70,2026-06-27,2022-09-09T12:00:00Z
178,Ramirez,Avery,3.80,2026-06-28,2023-10-10T12:00:00Z
179,Lewis,Mateo,3.90,2026-06-29,2024-11-11T12:00:00Z
180,Robinson,Sofia,4.00,2026-06-30,2025-12-12T12:00:00Z
181,Walker,Daniel,2.10,2026-06-01,2020-01-13T12:00:00Z
182,Young,Camila,2.20,2026-06-02,2021-02-14T12:00:00Z
183,Allen,Michael,2.30,2026-06-03,2022-03-15T12:00:00Z
184,King,Aria,2.40,2026-06-04,2023-04-16T12:00:00Z
185,Wright,Mason,2.50,2026-06-05,2024-05-17T12:00:00Z
186,Scott,Scarlett,2.60,2026-06-06,2025-06-18T12:00:00Z
187,Torres,Sebastian,2.70,2026-06-07,2020-07-19T12:00:00Z
